"season","franchise_id","previous_id","identity_matches"
2026,"0001","0001",3
2026,"0002","0002",3
2026,"0003","0003",3
2026,"0004","0004",3
2026,"0005","0005",3
2026,"0006","0006",3
2026,"0007","0007",6
2026,"0008","0008",3
2026,"0009","0009",3
2026,"0010","0010",3
2026,"0011","0011",3
2026,"0012","0012",3
2026,"0013","0013",3
2026,"0014","0014",3
2026,"0015","0015",3
2026,"0016","0016",3
2026,"0017","0017",3
2026,"0018","0018",3
2026,"0019","0019",3
2026,"0020","0020",3
2026,"0021","0021",3
2026,"0022","0022",3
2026,"0023","0023",3
2026,"0024","0024",3
2026,"0025","0025",3
2026,"0026","0026",3
2026,"0027","0027",3
2026,"0028","0028",3
2026,"0029","0029",3
2026,"0030","0030",3
2026,"0031","0031",3
2026,"0032","0032",7
